,Unnamed: 0,Ship Mode,Customer Name,Segment,Country,City,State,Postal Code,Region,Category,Sub-Category,Sales,Quantity,Discount,Profit,Inventory,date_difference,Sales.1,Inventory
59,59,0,735,0,0,488,30,12180,1,2,0,30,2.0,0.0,3.3,120,1,30.0,120.0
60,60,0,735,0,0,488,30,12180,1,1,3,48.48,4.0,0.2,16.362,48.48,1,48.48,48.48
61,61,0,735,0,0,488,30,12180,1,1,2,1.68,1.0,0.0,0.84,3.36,1,1.68,3.36
62,62,3,446,0,0,266,3,90004,3,2,0,13.98,2.0,0.0,6.1512,69.9,6,13.98,69.9
63,63,3,446,0,0,266,3,90004,3,1,3,25.824,6.0,0.2,9.3612,25.824,6,25.824,25.824
64,64,3,446,0,0,266,3,90004,3,1,12,146.73,3.0,0.0,68.9631,586.92,6,146.73,586.92
65,65,3,446,0,0,266,3,90004,3,0,9,79.76,4.0,0.0,22.3328,159.52,6,79.76,159.52
66,66,3,596,2,0,80,11,60610,0,0,5,213.115,5.0,0.3,-15.2225,1065.575,5,213.115,1065.575
67,67,3,105,1,0,166,1,85234,3,1,2,1113.024,8.0,0.2,111.3024,2226.048,5,1113.024,2226.048
68,68,3,105,1,0,166,1,85234,3,2,13,167.968,4.0,0.2,62.988,503.904,5,167.968,503.904
69,69,0,416,0,0,464,44,22153,2,1,12,75.88,2.0,0.0,35.6636,379.4,2,75.88,379.4
70,70,3,330,0,0,329,30,10009,1,1,3,4.616,1.0,0.2,1.731,9.232,5,4.616,9.232
71,71,2,765,0,0,215,20,49201,0,1,12,19.05,3.0,0.0,8.763,57.15,3,19.05,57.15
72,72,3,381,0,0,289,40,38109,2,0,5,831.936,8.0,0.2,-114.3912,3327.744,6,831.936,3327.744
73,73,3,381,0,0,289,40,38109,2,0,9,97.04,2.0,0.2,1.213,194.08,6,97.04,194.08
74,74,3,381,0,0,289,40,38109,2,1,14,72.784,1.0,0.2,-18.196,145.568,6,72.784,145.568
75,75,0,438,1,0,207,41,77041,0,1,3,1.248,3.0,0.8,-1.9344,4.992,2,1.248,4.992
76,76,0,438,1,0,207,41,77041,0,0,9,9.708,3.0,0.6,-5.8248,38.832,2,9.708,38.832
77,77,0,438,1,0,207,41,77041,0,1,14,27.24,3.0,0.2,2.724,27.24,2,27.24,27.24
78,78,2,381,0,0,207,41,77070,0,0,9,19.3,5.0,0.6,-14.475,77.2,5,19.3,77.2
79,79,0,716,1,0,116,0,35601,2,1,1,208.16,1.0,0.0,56.2032,416.32,3,208.16,416.32
80,80,0,716,1,0,116,0,35601,2,1,3,16.74,3.0,0.0,8.0352,83.7,3,16.74,83.7
81,81,3,244,0,0,438,3,94122,3,1,2,14.9,5.0,0.0,4.172,14.9,4,14.9,14.9
82,82,3,244,0,0,438,3,94122,3,1,14,21.39,1.0,0.0,6.2031,21.39,4,21.39,21.39
83,83,3,405,1,0,128,31,27707,2,1,7,200.984,7.0,0.2,62.8075,1004.92,5,200.984,1004.92
84,84,0,158,2,0,80,11,60623,0,1,14,230.376,3.0,0.2,-48.9549,691.128,3,230.376,691.128
85,85,2,589,0,0,93,38,29203,2,0,5,301.96,2.0,0.0,33.2156,905.88,2,301.96,905.88
86,86,3,591,0,0,410,21,55901,0,2,0,19.99,1.0,0.0,6.7966,19.99,7,19.99,19.99
87,87,3,591,0,0,410,21,55901,0,1,10,6.16,2.0,0.0,2.9568,24.64,7,6.16,24.64
88,88,2,295,2,0,207,41,77095,0,1,14,158.368,7.0,0.2,13.8572,633.472,5,158.368,633.472
89,89,3,377,1,0,266,3,90036,3,1,2,20.1,3.0,0.0,6.633,20.1,5,20.1,20.1
90,90,3,377,1,0,266,3,90036,3,2,13,73.584,2.0,0.2,8.2782,294.336,5,73.584,294.336
91,91,3,377,1,0,266,3,90036,3,1,12,6.48,1.0,0.0,3.1104,6.48,5,6.48,6.48
92,92,2,419,0,0,300,21,55407,0,1,12,12.96,2.0,0.0,6.2208,51.84,5,12.96,51.84
93,93,2,419,0,0,300,21,55407,0,0,9,53.34,3.0,0.0,16.5354,213.36,5,53.34,213.36
94,94,2,419,0,0,300,21,55407,0,1,3,32.96,2.0,0.0,16.1504,32.96,5,32.96,32.96
95,95,3,645,2,0,389,35,97206,3,1,3,5.682,1.0,0.7,-3.788,11.364,6,5.682,11.364
96,96,2,583,2,0,329,30,10009,1,0,9,96.53,7.0,0.0,40.5426,96.53,2,96.53,96.53
97,97,0,421,0,0,438,3,94122,3,1,3,51.312,3.0,0.2,17.9592,205.248,3,51.312,205.248
98,98,3,255,1,0,427,21,55106,0,1,1,77.88,6.0,0.0,22.5852,233.64,5,77.88,233.64
99,99,3,629,2,0,80,11,60610,0,1,12,64.624,7.0,0.2,22.6184,129.248,4,64.624,129.248
100,100,3,629,2,0,80,11,60610,0,2,0,95.976,3.0,0.2,-10.7973,383.904,4,95.976,383.904
101,101,3,629,2,0,80,11,60610,0,1,3,1.788,3.0,0.8,-3.0396,7.152,4,1.788,7.152
102,102,2,296,0,0,410,21,55901,0,1,12,23.92,4.0,0.0,11.7208,119.6,3,23.92,119.6
103,103,3,456,0,0,24,4,80013,3,2,0,238.896,6.0,0.2,-26.8758,955.584,4,238.896,955.584
104,104,3,456,0,0,24,4,80013,3,0,9,102.36,3.0,0.2,-3.8385,102.36,4,102.36,102.36
105,105,3,456,0,0,24,4,80013,3,1,3,36.882,3.0,0.7,-25.8174,73.764,4,36.882,73.764
106,106,3,348,0,0,74,31,28205,2,2,0,74.112,8.0,0.2,17.6016,296.448,5,74.112,296.448
107,107,3,348,0,0,74,31,28205,2,2,13,27.992,1.0,0.2,2.0994,55.984,5,27.992,55.984
108,108,3,348,0,0,74,31,28205,2,1,2,3.304,1.0,0.2,1.0738,16.52,5,3.304,16.52
109,109,3,602,2,0,352,11,60462,0,2,0,339.96,5.0,0.2,67.992,1699.8,5,339.96,1699.8
110,110,3,185,1,0,329,30,10035,1,0,9,41.96,2.0,0.0,10.9096,83.92,5,41.96,83.92
111,111,3,169,0,0,494,13,50322,0,1,2,75.96,2.0,0.0,22.788,303.84,7,75.96,303.84
112,112,3,169,0,0,494,13,50322,0,1,3,27.24,6.0,0.0,13.3476,27.24,7,27.24,27.24
113,113,2,662,0,0,94,33,43229,1,1,8,40.096,14.0,0.2,14.5348,160.384,2,40.096,160.384
114,114,2,662,0,0,94,33,43229,1,1,7,4.72,2.0,0.2,1.652,4.72,2,4.72,4.72
115,115,2,662,0,0,94,33,43229,1,1,12,23.976,3.0,0.2,7.4925,119.88,2,23.976,119.88
116,116,2,662,0,0,94,33,43229,1,1,7,130.464,6.0,0.2,44.0316,652.32,2,130.464,652.32
117,117,3,204,0,0,452,45,98103,3,0,16,787.53,3.0,0.0,165.3813,1575.06,4,787.53,1575.06
118,118,3,308,1,0,51,40,37620,2,1,3,157.794,1.0,0.7,-115.7156,315.588,5,157.794,315.588
119,119,0,713,0,0,521,6,19805,1,0,9,47.04,3.0,0.0,18.3456,47.04,3,47.04,47.04
120,120,0,713,0,0,521,6,19805,1,1,3,30.84,4.0,0.0,13.878,61.68,3,30.84,61.68
121,121,0,713,0,0,521,6,19805,1,1,14,226.56,6.0,0.0,63.4368,906.24,3,226.56,906.24
122,122,0,713,0,0,521,6,19805,1,1,7,115.02,9.0,0.0,51.759,345.06,3,115.02,345.06
123,123,0,713,0,0,521,6,19805,1,2,13,68.04,7.0,0.0,19.7316,204.12,3,68.04,204.12
124,124,2,11,2,0,207,41,77041,0,0,5,600.558,3.0,0.3,-8.5794,600.558,2,600.558,600.558
125,125,3,609,0,0,41,11,61701,0,0,16,617.7,6.0,0.5,-407.682,2470.8,5,617.7,2470.8
126,126,3,771,0,0,375,1,85023,3,1,3,2.388,2.0,0.7,-1.8308,9.552,7,2.388,9.552
127,127,3,771,0,0,375,1,85023,3,1,14,243.992,7.0,0.2,30.499,1219.96,7,243.992,1219.96
128,128,2,463,2,0,266,3,90004,3,0,5,81.424,2.0,0.2,-9.1602,407.12,4,81.424,407.12
129,129,2,463,2,0,266,3,90004,3,0,9,238.56,3.0,0.0,26.2416,715.68,4,238.56,715.68
130,130,0,237,1,0,94,33,43229,1,2,13,59.97,5.0,0.4,-11.994,299.85,3,59.97,299.85
131,131,0,237,1,0,94,33,43229,1,1,12,78.304,2.0,0.2,29.364,234.912,3,78.304,234.912
132,132,0,237,1,0,94,33,43229,1,1,8,21.456,9.0,0.2,6.9732,21.456,3,21.456,21.456
133,133,3,457,0,0,418,3,95661,3,1,12,20.04,3.0,0.0,9.6192,100.2,6,20.04,100.2
134,134,3,457,0,0,418,3,95661,3,1,12,35.44,1.0,0.0,16.6568,141.76,6,35.44,141.76
135,135,3,457,0,0,418,3,95661,3,1,2,11.52,4.0,0.0,3.456,11.52,6,11.52,11.52
136,136,3,457,0,0,418,3,95661,3,1,8,4.02,2.0,0.0,1.9698,16.08,6,4.02,16.08
137,137,3,457,0,0,418,3,95661,3,1,3,76.176,3.0,0.2,26.6616,304.704,6,76.176,304.704
138,138,3,457,0,0,418,3,95661,3,1,15,65.88,6.0,0.0,18.4464,65.88,6,65.88,65.88
139,139,3,457,0,0,418,3,95661,3,0,9,43.12,14.0,0.0,20.6976,129.36,6,43.12,129.36
140,140,2,391,1,0,374,36,19140,1,0,9,82.8,2.0,0.2,10.35,165.6,2,82.8,165.6
141,141,3,663,1,0,438,3,94122,3,1,2,8.82,3.0,0.0,2.3814,44.1,5,8.82,44.1
142,142,3,663,1,0,438,3,94122,3,1,7,10.86,3.0,0.0,5.1042,10.86,5,10.86,10.86
143,143,3,663,1,0,438,3,94122,3,1,12,143.7,3.0,0.0,68.976,143.7,5,143.7,143.7
144,144,3,670,0,0,210,23,64055,0,1,1,839.43,3.0,0.0,218.2518,4197.15,5,839.43,4197.15
145,145,3,326,0,0,364,3,91104,3,1,14,671.93,7.0,0.0,20.1579,2015.79,5,671.93,2015.79
146,146,3,510,2,0,330,33,43055,1,0,9,93.888,4.0,0.2,12.9096,187.776,6,93.888,187.776
147,147,3,409,1,0,156,47,53132,0,2,13,384.45,11.0,0.0,103.8015,1922.25,4,384.45,1922.25
148,148,3,409,1,0,156,47,53132,0,2,13,149.97,3.0,0.0,5.9988,299.94,4,149.97,299.94
149,149,3,409,1,0,156,47,53132,0,0,5,1951.84,8.0,0.0,585.552,3903.68,4,1951.84,3903.68
150,150,3,409,1,0,156,47,53132,0,1,3,171.55,5.0,0.0,80.6285,514.65,4,171.55,514.65
151,151,0,733,2,0,451,1,85254,3,1,1,157.92,5.0,0.2,17.766,789.6,3,157.92,789.6
152,152,0,733,2,0,451,1,85254,3,2,13,203.184,2.0,0.2,15.2388,1015.92,3,203.184,1015.92
153,153,0,708,1,0,440,3,95123,3,1,12,58.38,7.0,0.0,26.271,58.38,2,58.38,58.38
154,154,0,708,1,0,440,3,95123,3,1,12,105.52,4.0,0.0,48.5392,211.04,2,105.52,211.04
155,155,0,708,1,0,440,3,95123,3,1,14,80.88,6.0,0.0,21.0288,404.4,2,80.88,404.4
156,156,3,564,2,0,452,45,98105,3,1,2,6.63,3.0,0.0,1.7901,19.89,6,6.63,19.89
157,157,2,202,0,0,452,45,98115,3,0,5,457.568,2.0,0.2,51.4764,915.136,5,457.568,915.136
158,158,3,576,0,0,134,34,73034,0,1,10,14.62,2.0,0.0,6.8714,58.48,4,14.62,58.48
159,159,3,576,0,0,134,34,73034,0,2,13,944.93,7.0,0.0,236.2325,2834.79,4,944.93,2834.79
160,160,0,736,0,0,266,3,90045,3,1,12,5.98,1.0,0.0,2.691,29.9,1,5.98,29.9
161,161,2,262,0,0,374,36,19134,1,2,0,54.384,2.0,0.2,1.3596,163.152,3,54.384,163.152
162,162,3,658,0,0,65,29,88220,3,1,7,28.4,5.0,0.0,13.348,142,4,28.4,142.0
163,163,3,514,0,0,452,45,98115,3,1,3,27.68,2.0,0.2,9.688,138.4,4,27.68,138.4
164,164,3,75,0,0,434,41,78207,0,1,2,9.936,3.0,0.2,2.7324,39.744,4,9.936,39.744
165,165,3,75,0,0,434,41,78207,0,2,11,8159.952,8.0,0.4,-1359.992,24479.856,4,8159.952,24479.856
166,166,3,75,0,0,434,41,78207,0,1,14,275.928,3.0,0.2,-58.6347,275.928,4,275.928,275.928
167,167,3,75,0,0,434,41,78207,0,0,5,1740.06,9.0,0.3,-24.858,3480.12,4,1740.06,3480.12
168,168,3,75,0,0,434,41,78207,0,1,2,32.064,6.0,0.2,6.8136,160.32,4,32.064,160.32
169,169,3,75,0,0,434,41,78207,0,1,1,177.98,5.0,0.8,-453.849,711.92,4,177.98,711.92
170,170,3,75,0,0,434,41,78207,0,2,13,143.976,3.0,0.2,8.9985,431.928,4,143.976,431.928
171,171,3,140,0,0,266,3,90004,3,1,12,20.94,3.0,0.0,9.8418,20.94,4,20.94,20.94
172,172,3,140,0,0,266,3,90004,3,1,12,110.96,2.0,0.0,53.2608,221.92,4,110.96,221.92
173,173,3,140,0,0,266,3,90004,3,0,5,340.144,7.0,0.2,21.259,340.144,4,340.144,340.144
174,174,3,358,1,0,80,11,60623,0,1,1,52.448,2.0,0.8,-131.12,209.792,5,52.448,209.792
175,175,3,358,1,0,80,11,60623,0,1,10,20.16,4.0,0.2,6.552,40.32,5,20.16,40.32
176,176,2,698,0,0,207,41,77036,0,1,1,97.264,4.0,0.8,-243.16,97.264,4,97.264,97.264
177,177,2,381,0,0,330,33,43055,1,0,5,396.802,7.0,0.3,-11.3372,1190.406,2,396.802,1190.406
178,178,2,381,0,0,330,33,43055,1,1,15,15.88,5.0,0.2,-3.7715,15.88,2,15.88,15.88
179,179,3,374,2,0,329,30,10009,1,1,2,3.28,1.0,0.0,1.4104,6.56,4,3.28,6.56
180,180,2,208,1,0,116,11,62521,0,1,14,24.816,2.0,0.2,1.8612,124.08,4,24.816,124.08
181,181,2,208,1,0,116,11,62521,0,2,0, 16GB,408.744,7.0,0.2,#VALUE!,4,,
182,182,2,643,2,0,308,16,71203,2,2,13,503.96,4.0,0.0,131.0296,2015.84,5,503.96,2015.84
183,183,2,643,2,0,308,16,71203,2,2,13,149.95,5.0,0.0,41.986,299.9,5,149.95,299.9
184,184,2,643,2,0,308,16,71203,2,2,0,29,2.0,0.0,7.25,87,5,29.0,87.0
185,185,3,664,0,0,147,5,6824,1,1,3,7.16,2.0,0.0,3.4368,7.16,4,7.16,7.16
186,186,3,284,2,0,266,3,90032,3,2,0,176.8,8.0,0.0,22.984,176.8,4,176.8,176.8
187,187,3,23,1,0,172,41,75051,0,1,14,37.224,3.0,0.2,3.7224,186.12,6,37.224,186.12
188,188,3,23,1,0,172,41,75051,0,1,12,20.016,3.0,0.2,6.255,80.064,6,20.016,80.064
189,189,0,496,2,0,329,30,10035,1,0,4,899.136,4.0,0.2,112.392,899.136,2,899.136,899.136
190,190,0,496,2,0,329,30,10035,1,2,13,71.76,6.0,0.0,20.0928,287.04,2,71.76,287.04
191,191,0,496,2,0,329,30,10035,1,1,12,51.84,8.0,0.0,24.8832,207.36,2,51.84,207.36
192,192,0,496,2,0,329,30,10035,1,0,4,626.352,3.0,0.2,46.9764,2505.408,2,626.352,2505.408
193,193,0,496,2,0,329,30,10035,1,1,2,19.9,5.0,0.0,6.567,19.9,2,19.9,19.9
194,194,3,499,1,0,399,3,92374,3,1,7,14.28,7.0,0.0,6.7116,42.84,6,14.28,42.84
195,195,3,133,0,0,187,33,45011,1,1,2,7.408,2.0,0.2,1.2038,29.632,4,7.408,29.632
196,196,3,133,0,0,187,33,45011,1,1,2,6.048,3.0,0.2,1.5876,18.144,4,6.048,18.144
197,197,3,776,2,0,515,28,7090,1,1,14,46.26,3.0,0.0,12.0276,46.26,7,46.26,46.26
198,198,3,289,1,0,374,36,19120,1,1,3,2.946,2.0,0.7,-2.2586,2.946,7,2.946,2.946
199,199,3,289,1,0,374,36,19120,1,1,12,16.056,3.0,0.2,5.8203,16.056,7,16.056,16.056
200,200,3,485,0,0,2,33,44312,1,1,12,21.744,3.0,0.2,6.795,108.72,5,21.744,108.72
201,201,0,116,0,0,120,4,80219,3,0,16,218.75,2.0,0.5,-161.875,1093.75,2,218.75,1093.75
202,202,0,116,0,0,120,4,80219,3,1,1,2.6,1.0,0.2,0.2925,5.2,2,2.6,5.2
203,203,2,474,0,0,109,41,75220,0,1,1,66.284,2.0,0.8,-178.9668,331.42,4,66.284,331.42
204,204,3,324,1,0,156,40,37064,2,0,9,35.168,7.0,0.2,9.6712,140.672,4,35.168,140.672
205,205,3,452,0,0,519,3,90604,3,2,13,444.768,4.0,0.2,44.4768,2223.84,5,444.768,2223.84
206,206,3,397,0,0,423,20,48601,0,1,14,83.92,4.0,0.0,5.8744,419.6,6,83.92,419.6
207,207,3,397,0,0,423,20,48601,0,2,13,131.98,2.0,0.0,35.6346,395.94,6,131.98,395.94
208,208,3,397,0,0,423,20,48601,0,1,3,15.92,4.0,0.0,7.4824,31.84,6,15.92,31.84
209,209,3,397,0,0,423,20,48601,0,1,8,52.29,9.0,0.0,16.2099,104.58,6,52.29,104.58
210,210,3,397,0,0,423,20,48601,0,1,14,91.99,1.0,0.0,3.6796,91.99,6,91.99,91.99
211,211,2,530,1,0,109,41,75220,0,2,0,20.8,2.0,0.2,6.5,62.4,4,20.8,62.4
212,212,3,782,1,0,287,33,44256,1,1,10,23.68,2.0,0.2,8.88,47.36,7,23.68,47.36
213,213,3,782,1,0,287,33,44256,1,0,4,452.45,5.0,0.5,-244.323,1809.8,7,452.45,1809.8
214,214,3,782,1,0,287,33,44256,1,2,13,62.982,3.0,0.4,-14.6958,188.946,7,62.982,188.946
215,215,3,782,1,0,287,33,44256,1,2,11,1188,9.0,0.7,-950.4,1188,7,1188.0,1188.0
216,216,3,782,1,0,287,33,44256,1,2,0,89.584,2.0,0.2,4.4792,268.752,7,89.584,268.752
217,217,3,392,0,0,266,3,90032,3,1,14,93.06,6.0,0.0,26.0568,279.18,4,93.06,279.18
218,218,3,392,0,0,266,3,90032,3,2,13,302.376,3.0,0.2,22.6782,907.128,4,302.376,907.128
219,219,0,393,0,0,126,33,43017,1,1,8,5.584,2.0,0.2,1.8148,16.752,3,5.584,16.752
220,220,0,393,0,0,126,33,43017,1,1,12,22.704,6.0,0.2,8.2302,113.52,3,22.704,113.52
221,221,0,393,0,0,126,33,43017,1,1,3,19.776,4.0,0.7,-13.8432,98.88,3,19.776,98.88
222,222,0,393,0,0,126,33,43017,1,0,9,72.704,4.0,0.2,19.0848,363.52,3,72.704,363.52
223,223,0,393,0,0,126,33,43017,1,2,11,479.988,4.0,0.7,-383.9904,2399.94,3,479.988,2399.94
224,224,0,393,0,0,126,33,43017,1,1,2,27.168,2.0,0.2,2.7168,81.504,3,27.168,81.504
225,225,3,210,1,0,123,20,48227,0,1,2,2.2,1.0,0.0,0.968,8.8,7,2.2,8.8
226,226,3,210,1,0,123,20,48227,0,0,16,622.45,5.0,0.0,136.939,1867.35,7,622.45,1867.35
227,227,3,210,1,0,123,20,48227,0,1,14,21.98,1.0,0.0,0.2198,65.94,7,21.98,65.94
228,228,3,775,0,0,93,40,38401,2,0,5,161.568,2.0,0.2,-28.2744,161.568,4,161.568,161.568
229,229,3,775,0,0,93,40,38401,2,0,5,389.696,8.0,0.2,43.8408,1169.088,4,389.696,1169.088
230,230,3,267,1,0,74,31,28205,2,1,3,18.648,7.0,0.7,-12.432,55.944,4,18.648,55.944
231,231,3,158,2,0,473,8,33614,2,0,16,233.86,2.0,0.45,-102.048,701.58,5,233.86,701.58
232,232,3,158,2,0,473,8,33614,2,0,16,620.6145,3.0,0.45,-248.2458,620.6145,5,620.6145,620.6145
233,233,3,158,2,0,473,8,33614,2,1,3,5.328,2.0,0.7,-3.552,26.64,5,5.328,26.64
234,234,3,158,2,0,473,8,33614,2,0,9,258.072,3.0,0.2,0.0,258.072,5,258.072,258.072
235,235,3,158,2,0,473,8,33614,2,2,0,617.976,3.0,0.2,-7.7247,1853.928,5,617.976,1853.928
236,236,3,206,1,0,448,3,95051,3,1,12,10.56,2.0,0.0,4.752,21.12,4,10.56,21.12
237,237,2,441,0,0,80,11,60610,0,1,12,25.92,5.0,0.2,9.396,129.6,5,25.92,129.6
238,238,2,441,0,0,80,11,60610,0,0,9,419.68,5.0,0.6,-356.728,1678.72,5,419.68,1678.72
239,239,2,441,0,0,80,11,60610,0,0,9,11.688,3.0,0.6,-4.6752,35.064,5,11.688,35.064
240,240,2,441,0,0,80,11,60610,0,2,13,31.984,2.0,0.2,11.1944,159.92,5,31.984,159.92
241,241,2,441,0,0,80,11,60610,0,0,16,177.225,5.0,0.5,-120.513,354.45,5,177.225,354.45
242,242,2,441,0,0,80,11,60610,0,0,9,4.044,3.0,0.6,-2.8308,12.132,5,4.044,12.132
243,243,2,441,0,0,80,11,60610,0,1,2,7.408,2.0,0.2,1.2038,14.816,5,7.408,14.816
244,244,2,230,2,0,239,21,55044,0,0,5,2001.86,7.0,0.0,580.5394,10009.3,5,2001.86,10009.3
