,Ship Mode,Customer Name,Segment,Country,City,State,Postal Code,Region,Category,Sub-Category,Sales,Quantity,Discount,Profit,Inventory,date_difference,Sales
22,3,437,1,0,158,25,68025,0,1,1,60.34,7.0,0.0,15.6884,120.68,4,60.34
23,2,669,0,0,374,36,19140,1,0,5,71.372,2.0,0.3,-1.0196,285.488,2,71.372
24,3,256,0,0,351,42,84057,3,0,16,1044.63,3.0,0.0,240.2649,2089.26,5,1044.63
25,2,261,0,0,266,3,90049,3,1,3,11.648,2.0,0.2,4.2224,23.296,4,11.648
26,2,261,0,0,266,3,90049,3,2,0,90.57,3.0,0.0,11.7741,362.28,4,90.57
27,3,765,0,0,374,36,19140,1,0,4,3083.43,7.0,0.5,-1665.0522,15417.15,4,3083.43
28,3,765,0,0,374,36,19140,1,1,3,9.618,2.0,0.7,-7.0532,48.09,4,9.618
29,3,765,0,0,374,36,19140,1,0,9,124.2,3.0,0.2,15.525,621,4,124.2
30,3,765,0,0,374,36,19140,1,1,7,3.264,2.0,0.2,1.1016,9.792,4,3.264
31,3,765,0,0,374,36,19140,1,1,2,86.304,6.0,0.2,9.7092,431.52,4,86.304
32,3,765,0,0,374,36,19140,1,1,3,6.858,6.0,0.7,-5.715,27.432,4,6.858
33,3,765,0,0,374,36,19140,1,1,2,15.76,2.0,0.2,3.546,31.52,4,15.76
34,2,502,2,0,207,41,77095,0,1,12,29.472,3.0,0.2,9.9468,29.472,4,29.472
35,0,297,1,0,406,41,75080,0,2,13,1097.544,7.0,0.2,123.4737,3292.632,2,1097.544
36,0,297,1,0,406,41,75080,0,0,9,190.92,5.0,0.6,-147.963,954.6,2,190.92
37,3,712,2,0,207,41,77041,0,1,7,113.328,9.0,0.2,35.415,566.64,4,113.328
38,3,712,2,0,207,41,77041,0,0,4,532.3992,3.0,0.32,-46.9764,2129.5968,4,532.3992
39,3,712,2,0,207,41,77041,0,0,5,212.058,3.0,0.3,-15.147,212.058,4,212.058
40,3,712,2,0,207,41,77041,0,2,13,371.168,4.0,0.2,41.7564,742.336,4,371.168
41,3,460,1,0,321,11,60540,0,2,13,147.168,4.0,0.2,16.5564,588.672,5,147.168
42,3,657,1,0,266,3,90049,3,1,14,77.88,2.0,0.0,3.894,389.4,5,77.88
43,3,270,1,0,288,8,32935,2,1,14,95.616,2.0,0.2,9.5616,382.464,4,95.616
44,0,579,1,0,129,21,55122,0,2,0,45.98,2.0,0.0,19.7714,137.94,2,45.98
45,0,579,1,0,129,21,55122,0,1,3,17.46,2.0,0.0,8.2062,87.3,2,17.46
46,2,589,0,0,516,20,48185,0,1,14,211.96,4.0,0.0,8.4784,211.96,5,211.96
47,3,458,0,0,124,6,19901,1,2,0,45,3.0,0.0,4.95,45,5,45.0
48,3,458,0,0,124,6,19901,1,2,13,21.8,2.0,0.0,6.104,21.8,5,21.8
49,3,198,0,0,324,12,47150,0,1,3,38.22,6.0,0.0,17.9634,152.88,4,38.22
50,3,198,0,0,324,12,47150,0,1,10,75.18,6.0,0.0,35.3346,225.54,4,75.18
51,3,198,0,0,324,12,47150,0,0,9,6.16,2.0,0.0,2.9568,24.64,4,6.16
52,3,198,0,0,324,12,47150,0,0,5,89.99,1.0,0.0,17.0981,359.96,4,89.99
53,3,349,1,0,329,30,10024,1,1,8,15.26,7.0,0.0,6.2566,76.3,6,15.26
54,3,349,1,0,329,30,10024,1,2,13,1029.95,5.0,0.0,298.6855,2059.9,6,1029.95
55,0,735,0,0,488,30,12180,1,1,14,208.56,6.0,0.0,52.14,834.24,1,208.56
56,0,735,0,0,488,30,12180,1,1,12,32.4,5.0,0.0,15.552,129.6,1,32.4
57,0,735,0,0,488,30,12180,1,0,5,319.41,5.0,0.1,7.098,1597.05,1,319.41
58,0,735,0,0,488,30,12180,1,1,12,14.56,2.0,0.0,6.9888,14.56,1,14.56
59,0,735,0,0,488,30,12180,1,2,0,30,2.0,0.0,3.3,120,1,30.0
60,0,735,0,0,488,30,12180,1,1,3,48.48,4.0,0.2,16.362,48.48,1,48.48
61,0,735,0,0,488,30,12180,1,1,2,1.68,1.0,0.0,0.84,3.36,1,1.68
62,3,446,0,0,266,3,90004,3,2,0,13.98,2.0,0.0,6.1512,69.9,6,13.98
63,3,446,0,0,266,3,90004,3,1,3,25.824,6.0,0.2,9.3612,25.824,6,25.824
64,3,446,0,0,266,3,90004,3,1,12,146.73,3.0,0.0,68.9631,586.92,6,146.73
65,3,446,0,0,266,3,90004,3,0,9,79.76,4.0,0.0,22.3328,159.52,6,79.76
66,3,596,2,0,80,11,60610,0,0,5,213.115,5.0,0.3,-15.2225,1065.575,5,213.115
67,3,105,1,0,166,1,85234,3,1,2,1113.024,8.0,0.2,111.3024,2226.048,5,1113.024
68,3,105,1,0,166,1,85234,3,2,13,167.968,4.0,0.2,62.988,503.904,5,167.968
69,0,416,0,0,464,44,22153,2,1,12,75.88,2.0,0.0,35.6636,379.4,2,75.88
70,3,330,0,0,329,30,10009,1,1,3,4.616,1.0,0.2,1.731,9.232,5,4.616
71,2,765,0,0,215,20,49201,0,1,12,19.05,3.0,0.0,8.763,57.15,3,19.05
72,3,381,0,0,289,40,38109,2,0,5,831.936,8.0,0.2,-114.3912,3327.744,6,831.936
73,3,381,0,0,289,40,38109,2,0,9,97.04,2.0,0.2,1.213,194.08,6,97.04
74,3,381,0,0,289,40,38109,2,1,14,72.784,1.0,0.2,-18.196,145.568,6,72.784
75,0,438,1,0,207,41,77041,0,1,3,1.248,3.0,0.8,-1.9344,4.992,2,1.248
76,0,438,1,0,207,41,77041,0,0,9,9.708,3.0,0.6,-5.8248,38.832,2,9.708
77,0,438,1,0,207,41,77041,0,1,14,27.24,3.0,0.2,2.724,27.24,2,27.24
78,2,381,0,0,207,41,77070,0,0,9,19.3,5.0,0.6,-14.475,77.2,5,19.3
79,0,716,1,0,116,0,35601,2,1,1,208.16,1.0,0.0,56.2032,416.32,3,208.16
80,0,716,1,0,116,0,35601,2,1,3,16.74,3.0,0.0,8.0352,83.7,3,16.74
81,3,244,0,0,438,3,94122,3,1,2,14.9,5.0,0.0,4.172,14.9,4,14.9
82,3,244,0,0,438,3,94122,3,1,14,21.39,1.0,0.0,6.2031,21.39,4,21.39
83,3,405,1,0,128,31,27707,2,1,7,200.984,7.0,0.2,62.8075,1004.92,5,200.984
84,0,158,2,0,80,11,60623,0,1,14,230.376,3.0,0.2,-48.9549,691.128,3,230.376
85,2,589,0,0,93,38,29203,2,0,5,301.96,2.0,0.0,33.2156,905.88,2,301.96
86,3,591,0,0,410,21,55901,0,2,0,19.99,1.0,0.0,6.7966,19.99,7,19.99
87,3,591,0,0,410,21,55901,0,1,10,6.16,2.0,0.0,2.9568,24.64,7,6.16
88,2,295,2,0,207,41,77095,0,1,14,158.368,7.0,0.2,13.8572,633.472,5,158.368
89,3,377,1,0,266,3,90036,3,1,2,20.1,3.0,0.0,6.633,20.1,5,20.1
90,3,377,1,0,266,3,90036,3,2,13,73.584,2.0,0.2,8.2782,294.336,5,73.584
91,3,377,1,0,266,3,90036,3,1,12,6.48,1.0,0.0,3.1104,6.48,5,6.48
92,2,419,0,0,300,21,55407,0,1,12,12.96,2.0,0.0,6.2208,51.84,5,12.96
93,2,419,0,0,300,21,55407,0,0,9,53.34,3.0,0.0,16.5354,213.36,5,53.34
94,2,419,0,0,300,21,55407,0,1,3,32.96,2.0,0.0,16.1504,32.96,5,32.96
95,3,645,2,0,389,35,97206,3,1,3,5.682,1.0,0.7,-3.788,11.364,6,5.682
96,2,583,2,0,329,30,10009,1,0,9,96.53,7.0,0.0,40.5426,96.53,2,96.53
97,0,421,0,0,438,3,94122,3,1,3,51.312,3.0,0.2,17.9592,205.248,3,51.312
98,3,255,1,0,427,21,55106,0,1,1,77.88,6.0,0.0,22.5852,233.64,5,77.88
99,3,629,2,0,80,11,60610,0,1,12,64.624,7.0,0.2,22.6184,129.248,4,64.624
100,3,629,2,0,80,11,60610,0,2,0,95.976,3.0,0.2,-10.7973,383.904,4,95.976
101,3,629,2,0,80,11,60610,0,1,3,1.788,3.0,0.8,-3.0396,7.152,4,1.788
102,2,296,0,0,410,21,55901,0,1,12,23.92,4.0,0.0,11.7208,119.6,3,23.92
103,3,456,0,0,24,4,80013,3,2,0,238.896,6.0,0.2,-26.8758,955.584,4,238.896
104,3,456,0,0,24,4,80013,3,0,9,102.36,3.0,0.2,-3.8385,102.36,4,102.36
105,3,456,0,0,24,4,80013,3,1,3,36.882,3.0,0.7,-25.8174,73.764,4,36.882
106,3,348,0,0,74,31,28205,2,2,0,74.112,8.0,0.2,17.6016,296.448,5,74.112
107,3,348,0,0,74,31,28205,2,2,13,27.992,1.0,0.2,2.0994,55.984,5,27.992
108,3,348,0,0,74,31,28205,2,1,2,3.304,1.0,0.2,1.0738,16.52,5,3.304
109,3,602,2,0,352,11,60462,0,2,0,339.96,5.0,0.2,67.992,1699.8,5,339.96
110,3,185,1,0,329,30,10035,1,0,9,41.96,2.0,0.0,10.9096,83.92,5,41.96
111,3,169,0,0,494,13,50322,0,1,2,75.96,2.0,0.0,22.788,303.84,7,75.96
112,3,169,0,0,494,13,50322,0,1,3,27.24,6.0,0.0,13.3476,27.24,7,27.24
113,2,662,0,0,94,33,43229,1,1,8,40.096,14.0,0.2,14.5348,160.384,2,40.096
114,2,662,0,0,94,33,43229,1,1,7,4.72,2.0,0.2,1.652,4.72,2,4.72
115,2,662,0,0,94,33,43229,1,1,12,23.976,3.0,0.2,7.4925,119.88,2,23.976
116,2,662,0,0,94,33,43229,1,1,7,130.464,6.0,0.2,44.0316,652.32,2,130.464
117,3,204,0,0,452,45,98103,3,0,16,787.53,3.0,0.0,165.3813,1575.06,4,787.53
118,3,308,1,0,51,40,37620,2,1,3,157.794,1.0,0.7,-115.7156,315.588,5,157.794
119,0,713,0,0,521,6,19805,1,0,9,47.04,3.0,0.0,18.3456,47.04,3,47.04
120,0,713,0,0,521,6,19805,1,1,3,30.84,4.0,0.0,13.878,61.68,3,30.84
121,0,713,0,0,521,6,19805,1,1,14,226.56,6.0,0.0,63.4368,906.24,3,226.56
122,0,713,0,0,521,6,19805,1,1,7,115.02,9.0,0.0,51.759,345.06,3,115.02
123,0,713,0,0,521,6,19805,1,2,13,68.04,7.0,0.0,19.7316,204.12,3,68.04
124,2,11,2,0,207,41,77041,0,0,5,600.558,3.0,0.3,-8.5794,600.558,2,600.558
125,3,609,0,0,41,11,61701,0,0,16,617.7,6.0,0.5,-407.682,2470.8,5,617.7
126,3,771,0,0,375,1,85023,3,1,3,2.388,2.0,0.7,-1.8308,9.552,7,2.388
127,3,771,0,0,375,1,85023,3,1,14,243.992,7.0,0.2,30.499,1219.96,7,243.992
128,2,463,2,0,266,3,90004,3,0,5,81.424,2.0,0.2,-9.1602,407.12,4,81.424
129,2,463,2,0,266,3,90004,3,0,9,238.56,3.0,0.0,26.2416,715.68,4,238.56
130,0,237,1,0,94,33,43229,1,2,13,59.97,5.0,0.4,-11.994,299.85,3,59.97
131,0,237,1,0,94,33,43229,1,1,12,78.304,2.0,0.2,29.364,234.912,3,78.304
132,0,237,1,0,94,33,43229,1,1,8,21.456,9.0,0.2,6.9732,21.456,3,21.456
133,3,457,0,0,418,3,95661,3,1,12,20.04,3.0,0.0,9.6192,100.2,6,20.04
134,3,457,0,0,418,3,95661,3,1,12,35.44,1.0,0.0,16.6568,141.76,6,35.44
135,3,457,0,0,418,3,95661,3,1,2,11.52,4.0,0.0,3.456,11.52,6,11.52
136,3,457,0,0,418,3,95661,3,1,8,4.02,2.0,0.0,1.9698,16.08,6,4.02
137,3,457,0,0,418,3,95661,3,1,3,76.176,3.0,0.2,26.6616,304.704,6,76.176
138,3,457,0,0,418,3,95661,3,1,15,65.88,6.0,0.0,18.4464,65.88,6,65.88
139,3,457,0,0,418,3,95661,3,0,9,43.12,14.0,0.0,20.6976,129.36,6,43.12
140,2,391,1,0,374,36,19140,1,0,9,82.8,2.0,0.2,10.35,165.6,2,82.8
141,3,663,1,0,438,3,94122,3,1,2,8.82,3.0,0.0,2.3814,44.1,5,8.82
142,3,663,1,0,438,3,94122,3,1,7,10.86,3.0,0.0,5.1042,10.86,5,10.86
143,3,663,1,0,438,3,94122,3,1,12,143.7,3.0,0.0,68.976,143.7,5,143.7
144,3,670,0,0,210,23,64055,0,1,1,839.43,3.0,0.0,218.2518,4197.15,5,839.43
145,3,326,0,0,364,3,91104,3,1,14,671.93,7.0,0.0,20.1579,2015.79,5,671.93
146,3,510,2,0,330,33,43055,1,0,9,93.888,4.0,0.2,12.9096,187.776,6,93.888
147,3,409,1,0,156,47,53132,0,2,13,384.45,11.0,0.0,103.8015,1922.25,4,384.45
148,3,409,1,0,156,47,53132,0,2,13,149.97,3.0,0.0,5.9988,299.94,4,149.97
149,3,409,1,0,156,47,53132,0,0,5,1951.84,8.0,0.0,585.552,3903.68,4,1951.84
150,3,409,1,0,156,47,53132,0,1,3,171.55,5.0,0.0,80.6285,514.65,4,171.55
151,0,733,2,0,451,1,85254,3,1,1,157.92,5.0,0.2,17.766,789.6,3,157.92
152,0,733,2,0,451,1,85254,3,2,13,203.184,2.0,0.2,15.2388,1015.92,3,203.184
153,0,708,1,0,440,3,95123,3,1,12,58.38,7.0,0.0,26.271,58.38,2,58.38
154,0,708,1,0,440,3,95123,3,1,12,105.52,4.0,0.0,48.5392,211.04,2,105.52
155,0,708,1,0,440,3,95123,3,1,14,80.88,6.0,0.0,21.0288,404.4,2,80.88
156,3,564,2,0,452,45,98105,3,1,2,6.63,3.0,0.0,1.7901,19.89,6,6.63
157,2,202,0,0,452,45,98115,3,0,5,457.568,2.0,0.2,51.4764,915.136,5,457.568
158,3,576,0,0,134,34,73034,0,1,10,14.62,2.0,0.0,6.8714,58.48,4,14.62
159,3,576,0,0,134,34,73034,0,2,13,944.93,7.0,0.0,236.2325,2834.79,4,944.93
160,0,736,0,0,266,3,90045,3,1,12,5.98,1.0,0.0,2.691,29.9,1,5.98
161,2,262,0,0,374,36,19134,1,2,0,54.384,2.0,0.2,1.3596,163.152,3,54.384
162,3,658,0,0,65,29,88220,3,1,7,28.4,5.0,0.0,13.348,142,4,28.4
163,3,514,0,0,452,45,98115,3,1,3,27.68,2.0,0.2,9.688,138.4,4,27.68
164,3,75,0,0,434,41,78207,0,1,2,9.936,3.0,0.2,2.7324,39.744,4,9.936
165,3,75,0,0,434,41,78207,0,2,11,8159.952,8.0,0.4,-1359.992,24479.856,4,8159.952
166,3,75,0,0,434,41,78207,0,1,14,275.928,3.0,0.2,-58.6347,275.928,4,275.928
167,3,75,0,0,434,41,78207,0,0,5,1740.06,9.0,0.3,-24.858,3480.12,4,1740.06
168,3,75,0,0,434,41,78207,0,1,2,32.064,6.0,0.2,6.8136,160.32,4,32.064
169,3,75,0,0,434,41,78207,0,1,1,177.98,5.0,0.8,-453.849,711.92,4,177.98
170,3,75,0,0,434,41,78207,0,2,13,143.976,3.0,0.2,8.9985,431.928,4,143.976
171,3,140,0,0,266,3,90004,3,1,12,20.94,3.0,0.0,9.8418,20.94,4,20.94
172,3,140,0,0,266,3,90004,3,1,12,110.96,2.0,0.0,53.2608,221.92,4,110.96
173,3,140,0,0,266,3,90004,3,0,5,340.144,7.0,0.2,21.259,340.144,4,340.144
174,3,358,1,0,80,11,60623,0,1,1,52.448,2.0,0.8,-131.12,209.792,5,52.448
175,3,358,1,0,80,11,60623,0,1,10,20.16,4.0,0.2,6.552,40.32,5,20.16
176,2,698,0,0,207,41,77036,0,1,1,97.264,4.0,0.8,-243.16,97.264,4,97.264
177,2,381,0,0,330,33,43055,1,0,5,396.802,7.0,0.3,-11.3372,1190.406,2,396.802
178,2,381,0,0,330,33,43055,1,1,15,15.88,5.0,0.2,-3.7715,15.88,2,15.88
179,3,374,2,0,329,30,10009,1,1,2,3.28,1.0,0.0,1.4104,6.56,4,3.28
180,2,208,1,0,116,11,62521,0,1,14,24.816,2.0,0.2,1.8612,124.08,4,24.816
181,2,208,1,0,116,11,62521,0,2,0, 16GB,408.744,7.0,0.2,#VALUE!,4,
182,2,643,2,0,308,16,71203,2,2,13,503.96,4.0,0.0,131.0296,2015.84,5,503.96
183,2,643,2,0,308,16,71203,2,2,13,149.95,5.0,0.0,41.986,299.9,5,149.95
184,2,643,2,0,308,16,71203,2,2,0,29,2.0,0.0,7.25,87,5,29.0
185,3,664,0,0,147,5,6824,1,1,3,7.16,2.0,0.0,3.4368,7.16,4,7.16
186,3,284,2,0,266,3,90032,3,2,0,176.8,8.0,0.0,22.984,176.8,4,176.8
187,3,23,1,0,172,41,75051,0,1,14,37.224,3.0,0.2,3.7224,186.12,6,37.224
188,3,23,1,0,172,41,75051,0,1,12,20.016,3.0,0.2,6.255,80.064,6,20.016
189,0,496,2,0,329,30,10035,1,0,4,899.136,4.0,0.2,112.392,899.136,2,899.136
190,0,496,2,0,329,30,10035,1,2,13,71.76,6.0,0.0,20.0928,287.04,2,71.76
191,0,496,2,0,329,30,10035,1,1,12,51.84,8.0,0.0,24.8832,207.36,2,51.84
192,0,496,2,0,329,30,10035,1,0,4,626.352,3.0,0.2,46.9764,2505.408,2,626.352
193,0,496,2,0,329,30,10035,1,1,2,19.9,5.0,0.0,6.567,19.9,2,19.9
194,3,499,1,0,399,3,92374,3,1,7,14.28,7.0,0.0,6.7116,42.84,6,14.28
195,3,133,0,0,187,33,45011,1,1,2,7.408,2.0,0.2,1.2038,29.632,4,7.408
196,3,133,0,0,187,33,45011,1,1,2,6.048,3.0,0.2,1.5876,18.144,4,6.048
197,3,776,2,0,515,28,7090,1,1,14,46.26,3.0,0.0,12.0276,46.26,7,46.26
198,3,289,1,0,374,36,19120,1,1,3,2.946,2.0,0.7,-2.2586,2.946,7,2.946
199,3,289,1,0,374,36,19120,1,1,12,16.056,3.0,0.2,5.8203,16.056,7,16.056
200,3,485,0,0,2,33,44312,1,1,12,21.744,3.0,0.2,6.795,108.72,5,21.744
201,0,116,0,0,120,4,80219,3,0,16,218.75,2.0,0.5,-161.875,1093.75,2,218.75
202,0,116,0,0,120,4,80219,3,1,1,2.6,1.0,0.2,0.2925,5.2,2,2.6
203,2,474,0,0,109,41,75220,0,1,1,66.284,2.0,0.8,-178.9668,331.42,4,66.284
204,3,324,1,0,156,40,37064,2,0,9,35.168,7.0,0.2,9.6712,140.672,4,35.168
205,3,452,0,0,519,3,90604,3,2,13,444.768,4.0,0.2,44.4768,2223.84,5,444.768
206,3,397,0,0,423,20,48601,0,1,14,83.92,4.0,0.0,5.8744,419.6,6,83.92
207,3,397,0,0,423,20,48601,0,2,13,131.98,2.0,0.0,35.6346,395.94,6,131.98
208,3,397,0,0,423,20,48601,0,1,3,15.92,4.0,0.0,7.4824,31.84,6,15.92
209,3,397,0,0,423,20,48601,0,1,8,52.29,9.0,0.0,16.2099,104.58,6,52.29
210,3,397,0,0,423,20,48601,0,1,14,91.99,1.0,0.0,3.6796,91.99,6,91.99
211,2,530,1,0,109,41,75220,0,2,0,20.8,2.0,0.2,6.5,62.4,4,20.8
212,3,782,1,0,287,33,44256,1,1,10,23.68,2.0,0.2,8.88,47.36,7,23.68
213,3,782,1,0,287,33,44256,1,0,4,452.45,5.0,0.5,-244.323,1809.8,7,452.45
214,3,782,1,0,287,33,44256,1,2,13,62.982,3.0,0.4,-14.6958,188.946,7,62.982
215,3,782,1,0,287,33,44256,1,2,11,1188,9.0,0.7,-950.4,1188,7,1188.0
216,3,782,1,0,287,33,44256,1,2,0,89.584,2.0,0.2,4.4792,268.752,7,89.584
217,3,392,0,0,266,3,90032,3,1,14,93.06,6.0,0.0,26.0568,279.18,4,93.06
218,3,392,0,0,266,3,90032,3,2,13,302.376,3.0,0.2,22.6782,907.128,4,302.376
219,0,393,0,0,126,33,43017,1,1,8,5.584,2.0,0.2,1.8148,16.752,3,5.584
220,0,393,0,0,126,33,43017,1,1,12,22.704,6.0,0.2,8.2302,113.52,3,22.704
221,0,393,0,0,126,33,43017,1,1,3,19.776,4.0,0.7,-13.8432,98.88,3,19.776
222,0,393,0,0,126,33,43017,1,0,9,72.704,4.0,0.2,19.0848,363.52,3,72.704
223,0,393,0,0,126,33,43017,1,2,11,479.988,4.0,0.7,-383.9904,2399.94,3,479.988
224,0,393,0,0,126,33,43017,1,1,2,27.168,2.0,0.2,2.7168,81.504,3,27.168
225,3,210,1,0,123,20,48227,0,1,2,2.2,1.0,0.0,0.968,8.8,7,2.2
226,3,210,1,0,123,20,48227,0,0,16,622.45,5.0,0.0,136.939,1867.35,7,622.45
227,3,210,1,0,123,20,48227,0,1,14,21.98,1.0,0.0,0.2198,65.94,7,21.98
228,3,775,0,0,93,40,38401,2,0,5,161.568,2.0,0.2,-28.2744,161.568,4,161.568
229,3,775,0,0,93,40,38401,2,0,5,389.696,8.0,0.2,43.8408,1169.088,4,389.696
230,3,267,1,0,74,31,28205,2,1,3,18.648,7.0,0.7,-12.432,55.944,4,18.648
231,3,158,2,0,473,8,33614,2,0,16,233.86,2.0,0.45,-102.048,701.58,5,233.86
232,3,158,2,0,473,8,33614,2,0,16,620.6145,3.0,0.45,-248.2458,620.6145,5,620.6145
233,3,158,2,0,473,8,33614,2,1,3,5.328,2.0,0.7,-3.552,26.64,5,5.328
234,3,158,2,0,473,8,33614,2,0,9,258.072,3.0,0.2,0.0,258.072,5,258.072
235,3,158,2,0,473,8,33614,2,2,0,617.976,3.0,0.2,-7.7247,1853.928,5,617.976
236,3,206,1,0,448,3,95051,3,1,12,10.56,2.0,0.0,4.752,21.12,4,10.56
237,2,441,0,0,80,11,60610,0,1,12,25.92,5.0,0.2,9.396,129.6,5,25.92
238,2,441,0,0,80,11,60610,0,0,9,419.68,5.0,0.6,-356.728,1678.72,5,419.68
239,2,441,0,0,80,11,60610,0,0,9,11.688,3.0,0.6,-4.6752,35.064,5,11.688
240,2,441,0,0,80,11,60610,0,2,13,31.984,2.0,0.2,11.1944,159.92,5,31.984
241,2,441,0,0,80,11,60610,0,0,16,177.225,5.0,0.5,-120.513,354.45,5,177.225
242,2,441,0,0,80,11,60610,0,0,9,4.044,3.0,0.6,-2.8308,12.132,5,4.044
243,2,441,0,0,80,11,60610,0,1,2,7.408,2.0,0.2,1.2038,14.816,5,7.408
244,2,230,2,0,239,21,55044,0,0,5,2001.86,7.0,0.0,580.5394,10009.3,5,2001.86
245,2,230,2,0,239,21,55044,0,1,14,166.72,2.0,0.0,41.68,500.16,5,166.72
246,2,230,2,0,239,21,55044,0,1,12,47.88,6.0,0.0,23.94,191.52,5,47.88
247,2,230,2,0,239,21,55044,0,1,1,1503.25,5.0,0.0,496.0725,4509.75,5,1503.25
248,2,230,2,0,239,21,55044,0,1,12,25.92,4.0,0.0,12.4416,51.84,5,25.92
249,2,475,0,0,438,3,94109,3,0,5,321.568,2.0,0.2,28.1372,643.136,5,321.568
250,3,434,0,0,437,3,92037,3,1,12,7.61,1.0,0.0,3.5767,38.05,6,7.61
251,3,434,0,0,437,3,92037,3,2,0,3347.37,13.0,0.0,636.0003,13389.48,6,3347.37
252,0,219,0,0,329,30,10024,1,1,14,80.58,6.0,0.0,22.5624,322.32,3,80.58
253,0,219,0,0,329,30,10024,1,1,7,361.92,4.0,0.0,162.864,1447.68,3,361.92
254,3,190,1,0,80,11,60623,0,0,9,12.132,9.0,0.6,-8.4924,36.396,6,12.132
255,3,190,1,0,80,11,60623,0,1,14,82.368,2.0,0.2,-19.5624,164.736,6,82.368
256,3,190,1,0,80,11,60623,0,1,14,53.92,5.0,0.2,4.044,215.68,6,53.92
257,3,190,1,0,80,11,60623,0,2,13,647.904,6.0,0.2,56.6916,1295.808,6,647.904
258,2,176,0,0,329,30,10009,1,2,0,20.37,3.0,0.0,6.9258,61.11,2,20.37
259,2,176,0,0,329,30,10009,1,1,14,221.55,3.0,0.0,6.6465,1107.75,2,221.55
260,2,176,0,0,329,30,10009,1,1,3,17.52,5.0,0.2,6.132,35.04,2,17.52
261,3,238,1,0,364,41,77506,0,1,1,1.624,2.0,0.8,-4.466,8.12,4,1.624
262,2,684,1,0,207,41,77036,0,2,11,3059.982,3.0,0.4,-509.997,6119.964,2,3059.982
263,2,684,1,0,207,41,77036,0,2,11,2519.958,7.0,0.4,-251.9958,10079.832,2,2519.958
264,3,653,0,0,80,11,60610,0,2,13,328.224,4.0,0.2,28.7196,328.224,7,328.224
265,3,13,0,0,49,3,94513,3,2,0,79.9,2.0,0.0,35.156,79.9,5,79.9
266,3,167,1,0,73,31,27514,2,1,2,14.016,3.0,0.2,4.7304,42.048,4,14.016
267,3,591,0,0,314,28,7960,1,1,8,7.56,6.0,0.0,0.3024,7.56,6,7.56
268,3,152,1,0,83,33,45231,1,1,14,37.208,1.0,0.2,-7.4416,37.208,4,37.208
269,3,152,1,0,83,33,45231,1,1,7,57.576,3.0,0.2,21.591,172.728,4,57.576
270,2,444,1,0,438,3,94110,3,1,14,725.84,4.0,0.0,210.4936,2903.36,5,725.84
271,0,326,0,0,438,3,94109,3,2,0,209.93,7.0,0.0,92.3692,209.93,1,209.93
272,0,326,0,0,438,3,94109,3,0,9,5.28,3.0,0.0,2.3232,10.56,1,5.28
273,0,326,0,0,438,3,94109,3,1,3,10.92,3.0,0.2,4.095,54.6,1,10.92
274,0,65,1,0,212,3,90301,3,1,12,8.82,2.0,0.0,4.0572,44.1,1,8.82
275,0,65,1,0,212,3,90301,3,1,2,5.98,1.0,0.0,1.5548,29.9,1,5.98
